concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001901,8870,Maps to,1970-01-01,2099-12-31,
2000001902,38004515,Maps to,1970-01-01,2099-12-31,
2000001903,8870,Maps to,1970-01-01,2099-12-31,
2000001904,4160140,Maps to,1970-01-01,2099-12-31,
2000001905,581383,Maps to,1970-01-01,2099-12-31,
8870,2000001901,Mapped from,1970-01-01,2099-12-31,
38004515,2000001902,Mapped from,1970-01-01,2099-12-31,
8870,2000001903,Mapped from,1970-01-01,2099-12-31,
4160140,2000001904,Mapped from,1970-01-01,2099-12-31,
581383,2000001905,Mapped from,1970-01-01,2099-12-31,
